Username,Tweet,Image,URL,Tanggal_Tweet,Reply,Retweet,Like,Views,Keyword,Tanggal_Scrape
Qievesaurus@Qieves·Jun 18,@prabowo@fadlizonkebusukan akan selalu bau busuk,,https://twitter.com/Qieves/status/1935124879181054310,2025-06-17T23:58:18.000Z,0,0,2,565,Prabowo,2025-06-19
Cun Cun Wijaya@CunCun86678118·Jun 18,Dan anda mengadu domba jokowi danprabowo?,,https://twitter.com/CunCun86678118/status/1935124855030169718,2025-06-17T23:58:12.000Z,0,0,0,111,Prabowo,2025-06-19
PENIKMAT HIDUP☆@kusnida_iman·Jun 18,PresidenPrabowomemang Keren.....,,https://twitter.com/kusnida_iman/status/1935124830149624308,2025-06-17T23:58:07.000Z,0,0,0,2,Prabowo,2025-06-19
Murah Senyum Tapi Galak@IndraKu57771683·Jun 18,Sudah keluar keputusan 4 pulau itu fix milik Aceh jd g usah di bahas lagi kasus ditutup,,https://twitter.com/IndraKu57771683/status/1935124803096297909,2025-06-17T23:58:00.000Z,0,0,0,9,Prabowo,2025-06-19
BerkilaPAN@bekilapan·Jun 18,"Mungkin Pak Presiden@prabowomasih lupa disimpan di kantong yg mana, sedang dicari mohon bersabar ya ?!!",,https://twitter.com/bekilapan/status/1935124791905935451,2025-06-17T23:57:57.000Z,0,0,0,7,Prabowo,2025-06-19
xatuu@Curutbetina·Jun 18,"dia emangprabowofans sih dari awal dari vs mulyono, alesan dia 01 ada isu agama, 03 gabagus kerjanya",,https://twitter.com/Curutbetina/status/1935124746800402469,2025-06-17T23:57:47.000Z,0,0,0,30,Prabowo,2025-06-19
unggul@ag_ungsud·Jun 18,PakPrabowoth 2029 berpasangan dg Mualem saja nanti saya ikut milih.,,https://twitter.com/ag_ungsud/status/1935124729414959356,2025-06-17T23:57:43.000Z,0,0,0,26,Prabowo,2025-06-19
Aman@AfiahSurahman·Jun 18,"bahlil sudah. Sekarang tito.
Memang anak2 nakal.y Pak@prabowobikin repot. Tp semua tau, mereka didikan jokowi. Pak Presiden janganlah dlu pecat mereka, tp pepet terus sj dlu sambil persempit ruang kuasanya. Kalau dipecat dan lepas di luar nanti jadi liar gak terkontrol..",,https://twitter.com/AfiahSurahman/status/1935124727884079174,2025-06-17T23:57:42.000Z,0,0,0,32,Prabowo,2025-06-19
Ahmad Sastrosumarto@sastro_pecel·Jun 18,"Sepeti karnaval 17an, anak2 memakai seragam sesuai cita2nya",,https://twitter.com/sastro_pecel/status/1935124722649604306,2025-06-17T23:57:41.000Z,0,0,0,13,Prabowo,2025-06-19
Gilang Wibowo@gilang_wibowo9·Jun 18,Keseriusan PresidenPrabowoMeningkatkan Irigasi Tumbuhkan Asa Petani#KetahananPangan,https://pbs.twimg.com/media/GtrxqgHaQAIoh8_?format=jpg&name=small,https://twitter.com/gilang_wibowo9/status/1935124711559807300,2025-06-17T23:57:38.000Z,0,0,0,16,Prabowo,2025-06-19
Cheetos@cheetos95·Jun 18,Kalo sdh ribut² baru bilang begini. Buzzer yah kerjaannya seperti ini. Nutupin borok² keluarga mulyono,,https://twitter.com/cheetos95/status/1935124706912616880,2025-06-17T23:57:37.000Z,0,0,1,17,Prabowo,2025-06-19
Animisme Garis Lucu@AnimismeL·Jun 18,"Gara2 oknum, Bapak kok jadi repot begini ya pak.",,https://twitter.com/AnimismeL/status/1935124682090672520,2025-06-17T23:57:31.000Z,0,0,0,7,Prabowo,2025-06-19
Alfonsing@VeronikaComan·Jun 18,"Kaum baperan nongol. Dikit2 lowbat dikit2 gagal move on, basi!",,https://twitter.com/VeronikaComan/status/1935124657138712701,2025-06-17T23:57:25.000Z,2,0,0,33,Prabowo,2025-06-19
tRah_joGja@Masjoko1976·Jun 18,"Ini yang naman nya di buatkan kerjaan dulu sama menteri nya.
He he he .....",,https://twitter.com/Masjoko1976/status/1935124641582055724,2025-06-17T23:57:22.000Z,0,0,0,7,Prabowo,2025-06-19
dimz@benjidarma·Jun 18,"kepmen bukannya harus atas sepengetahuan Presiden? artinya dari awal seharusnyaPrabowosudah tahu soal ini, lalu kenapa baru gerak setelah jadi gaduh di masyarakat?",,https://twitter.com/benjidarma/status/1935124611164946881,2025-06-17T23:57:14.000Z,0,0,0,135,Prabowo,2025-06-19
Amelia@amelcewaw·Jun 18,Setuju,,https://twitter.com/amelcewaw/status/1935124593993466074,2025-06-17T23:57:10.000Z,0,0,1,40,Prabowo,2025-06-19
Ahmad Sastrosumarto@sastro_pecel·Jun 18,"Pak@prabowoAnda katakan bahwa kabinet baik2 saja, Saya jadi curiga Bapak ini malah tampak seperti sedang “Momong” menteri2 bekas presiden lama, jangan mau diperlakukan seperti ART Pak, Bapak kan punya visi misi sendiri, kl ada halangan dan beban tinggal disingkirkan saja dan",,https://twitter.com/sastro_pecel/status/1935124575010046098,2025-06-17T23:57:06.000Z,0,0,1,13,Prabowo,2025-06-19
terii@bebeckhampung·Jun 18,"Tito,Trenggono,Budi Arie,Hasan Nasbi,Bahlil mending diganti aja pak@prabowoga kompeten",https://pbs.twimg.com/media/GtpEwlBa0AgNJkc?format=jpg&name=small,https://twitter.com/bebeckhampung/status/1935124562917867576,2025-06-17T23:57:03.000Z,0,0,0,18,Prabowo,2025-06-19
